Source,Target,Type,Id,Label,timeset,Weight
ceciveronica,afpcrecer,Undirected,0,ceciveronica -> afpcrecer,,1
flordel70587895,afpcrecer,Undirected,1,flordel70587895 -> afpcrecer,,2
nelsonr10,afpcrecer,Undirected,2,nelsonr10 -> afpcrecer,,1
nelsonr10,eduardo87343667,Undirected,3,nelsonr10 -> eduardo87343667,,1
pablohumbertoh2,afpcrecer,Undirected,4,pablohumbertoh2 -> afpcrecer,,1
elias0637563893,afpcrecer,Undirected,5,elias0637563893 -> afpcrecer,,1
loespino1,afpcrecer,Undirected,6,loespino1 -> afpcrecer,,5
loespino1,bancadacyan,Undirected,7,loespino1 -> bancadacyan,,1
loespino1,defensoria_910,Undirected,8,loespino1 -> defensoria_910,,1
loespino1,portillocuadra,Undirected,9,loespino1 -> portillocuadra,,2
nguzmansg_sv,afpcrecer,Undirected,10,nguzmansg_sv -> afpcrecer,,6
moralescastl,afpconfia,Undirected,11,moralescastl -> afpconfia,,1
moralescastl,afpcrecer,Undirected,12,moralescastl -> afpcrecer,,1
bella_rdrgz100,afpcrecer,Undirected,13,bella_rdrgz100 -> afpcrecer,,1
josevela79,afpcrecer,Undirected,14,josevela79 -> afpcrecer,,1
juancas51749295,eduardo87343667,Undirected,15,eduardo87343667 -> juancas51749295,,2
juancas51749295,afpcrecer,Undirected,16,juancas51749295 -> afpcrecer,,1
jfuentes9020010,afpcrecer,Undirected,17,jfuentes9020010 -> afpcrecer,,3
jose86867212,afpcrecer,Undirected,18,jose86867212 -> afpcrecer,,1
alvarocamposes,afpcrecer,Undirected,19,alvarocamposes -> afpcrecer,,1
eduardo87343667,afpcrecer,Undirected,21,eduardo87343667 -> afpcrecer,,1
pedrini30570736,afpcrecer,Undirected,22,pedrini30570736 -> afpcrecer,,1
democracia20211,afpcrecer,Undirected,23,democracia20211 -> afpcrecer,,1
asencio_jes,afpcrecer,Undirected,24,asencio_jes -> afpcrecer,,7
alfredovides,afpcrecer,Undirected,25,alfredovides -> afpcrecer,,2
mrwill19863,afpcrecer,Undirected,26,mrwill19863 -> afpcrecer,,5
loespino1,escobarmarga,Undirected,27,loespino1 -> escobarmarga,,1
mily49405217,afpcrecer,Undirected,28,mily49405217 -> afpcrecer,,1
paloma51520876,afpcrecer,Undirected,29,paloma51520876 -> afpcrecer,,1
solidux777,afpcrecer,Undirected,30,solidux777 -> afpcrecer,,2
edwin88752858,afpcrecer,Undirected,31,edwin88752858 -> afpcrecer,,1
omz8319,afpcrecer,Undirected,32,omz8319 -> afpcrecer,,1
lilyta2021,afpcrecer,Undirected,33,lilyta2021 -> afpcrecer,,2
lilyta2021,alfredovides,Undirected,34,alfredovides -> lilyta2021,,2
davidfr10470059,afpcrecer,Undirected,35,davidfr10470059 -> afpcrecer,,3
asencio_jes,chinawoksv,Undirected,36,asencio_jes -> chinawoksv,,1
pomponeta,afpcrecer,Undirected,37,pomponeta -> afpcrecer,,1
geny_paulette,chrisguevarag,Undirected,38,geny_paulette -> chrisguevarag,,1
geny_paulette,afpcrecer,Undirected,39,geny_paulette -> afpcrecer,,1
geny_paulette,ecastroes,Undirected,40,geny_paulette -> ecastroes,,1
geny_paulette,suecallejase,Undirected,41,geny_paulette -> suecallejase,,1
alas_maricela,afpcrecer,Undirected,42,alas_maricela -> afpcrecer,,1
luisever1,asambleasv,Undirected,43,luisever1 -> asambleasv,,1
luisever1,afpcrecer,Undirected,44,luisever1 -> afpcrecer,,1
luisever1,ecastroes,Undirected,45,luisever1 -> ecastroes,,1
luisever1,afpconfia,Undirected,46,luisever1 -> afpconfia,,1
luisever1,portillocuadra,Undirected,47,luisever1 -> portillocuadra,,1
luisever1,ggallegos24,Undirected,48,luisever1 -> ggallegos24,,1
anayan6060,afpcrecer,Undirected,49,anayan6060 -> afpcrecer,,1
cecilena6,afpcrecer,Undirected,50,cecilena6 -> afpcrecer,,1
alexand04597504,afpcrecer,Undirected,52,alexand04597504 -> afpcrecer,,1
alexand04597504,mrwill19863,Undirected,53,mrwill19863 -> alexand04597504,,3
alexise75583338,afpcrecer,Undirected,55,alexise75583338 -> afpcrecer,,2
micha440,afpcrecer,Undirected,56,micha440 -> afpcrecer,,1
xxmarioferxx,afpcrecer,Undirected,57,xxmarioferxx -> afpcrecer,,1
