Id,Label,timeset,language,urlUserImage,postGeoLat,postGeoLon,location,wordType,SENTIMENT
afpcrecer,afpcrecer,,,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,,,USER,NEUTRO
asencio_jes,asencio_jes,,,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,,,USER,NEUTRO
nguzmansg_sv,nguzmansg_sv,,,https://pbs.twimg.com/profile_images/1401696286005334018/r8vsDMu-_normal.jpg,,,CA,USER,NEGATIVO
mrwill19863,mrwill19863,,,https://pbs.twimg.com/profile_images/1318371025906708484/u6aOb8Mj_normal.jpg,,,,USER,NEGATIVO
eduardo87343667,eduardo87343667,,,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,,,USER,NEUTRO
loespino1,loespino1,,,https://pbs.twimg.com/profile_images/1276523138705166336/QJKRVWzy_normal.jpg,,,,USER,NEGATIVO
portillocuadra,portillocuadra,,,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,,,USER,NEUTRO
afpconfia,afpconfia,,,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,,,USER,NEUTRO
jfuentes9020010,jfuentes9020010,,,https://pbs.twimg.com/profile_images/1364913008049324034/a4baL6Wg_normal.jpg,,,En algún lugar de El Salvador,USER,POSITIVO
alfredovides,alfredovides,,,https://pbs.twimg.com/profile_images/1041509550740910080/-sx95YKf_normal.jpg,,,"San Salvador, El Salvador",USER,NEGATIVO
lilyta2021,lilyta2021,,,https://pbs.twimg.com/profile_images/1414021397945454593/LabtRFrL_normal.jpg,,,,USER,NEGATIVO
davidfr10470059,davidfr10470059,,,https://pbs.twimg.com/profile_images/1410679449054556168/uRkd9q2n_normal.jpg,,,"Santa Ana, El Salvador",USER,POSITIVO
alexand04597504,alexand04597504,,,https://pbs.twimg.com/profile_images/1230861531262455809/-8sFI2Do_normal.jpg,,,"San Salvador, El Salvador",USER,NEUTRO
flordel70587895,flordel70587895,,,https://pbs.twimg.com/profile_images/1380012631126372361/uqxWlASO_normal.jpg,,,,USER,CONSULTA
bancadacyan,bancadacyan,,,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,,,USER,NEUTRO
juancas51749295,juancas51749295,,,https://pbs.twimg.com/profile_images/1137078024950730756/xpAmyjl8_normal.jpg,,,,USER,CONSULTA
solidux777,solidux777,,,https://pbs.twimg.com/profile_images/1392328287045701635/WirQz3wJ_normal.jpg,,,,USER,NEGATIVO
ecastroes,ecastroes,,,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,,,USER,NEUTRO
asambleasv,asambleasv,,,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,,,USER,NEUTRO
alexise75583338,alexise75583338,,,https://pbs.twimg.com/profile_images/1365733398451531777/gPXiIkfY_normal.jpg,,,,USER,NEGATIVO
nah_hernan,nah_hernan,,,https://pbs.twimg.com/profile_images/1250282141297954819/tI1G-6jW_normal.jpg,,,,USER,NEGATIVO
nayibbukele,nayibbukele,,,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,,,USER,NEUTRO
ceciveronica,ceciveronica,,,https://pbs.twimg.com/profile_images/496724663339581440/A_AakxHi_normal.jpeg,,,,USER,POSITIVO
nelsonr10,nelsonr10,,,https://pbs.twimg.com/profile_images/1415157727131803648/CIjY02jt_normal.jpg,,,,USER,NEUTRO
pablohumbertoh2,pablohumbertoh2,,,https://pbs.twimg.com/profile_images/1413323023411732489/6CKN1n4o_normal.jpg,,,,USER,NEUTRO
elias0637563893,elias0637563893,,,https://pbs.twimg.com/profile_images/1404631586117664769/7Z6YkD1M_normal.jpg,,,,USER,CONSULTA
defensoria_910,defensoria_910,,,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,,,USER,NEUTRO
