x1,x2,Name,Date,Likes,Comment,view
1,,catelo59,08/01/21 00:23:12,1,Muchas gracias.,view comment
,1-1,afp.confia,08/01/21 00:40:28,0,@catelo59 para servirte 😉,view comment
2,,claudia195241,08/01/21 01:02:08,2,"Buenas noches.  Gracias por compartir la calendarizacion de pago pensiones . Cada año van retrasandolo más. El año pasado era 21 de mes, ahora será hasta el 24 o 25 de mes...Como es posible 😢😢, uno ta está programado. Que terrible, van a llegar al 30 de mes 🙄🙄",view comment
3,,elin.blanco.1,08/01/21 01:04:16,1,Muy amables,view comment
4,,mercedeslazo30,08/01/21 01:06:43,1,Gracias,view comment
5,,malenaalfaro9,08/01/21 01:27:51,1,Enterada🤗,view comment
6,,anamariacastanedadeguzman,08/01/21 01:35:57,1,Gracias🙌,view comment
7,,cosmeticos.valladares,08/01/21 01:37:42,1,Gracias,view comment
8,,quijano.delmy,08/01/21 01:38:28,2,Enterada,view comment
9,,marco_vinicio_escobar,08/01/21 01:53:45,2,Gracias por mantenernos con información importante para la planificación de nuestros ingresos y gastos de vida.,view comment
,9-1,afp.confia,08/01/21 01:55:36,0,@marco_vinicio_escobar gracias a ustedes por su confianza,view comment
10,,flodemapeal,08/01/21 02:29:13,0,@nealva_ld,view comment
11,,velinda_rodriguez,08/01/21 05:12:12,1,Enterada... gracias por la información. Bendiciones!!! 🙏🏽,view comment
12,,manuelde152,08/01/21 16:20:46,1,Gracias por sus atenciones,view comment
13,,liliandelcarmenurrutia,09/01/21 20:13:51,0,Gracias 👍,view comment
14,,jorgealbertomirandaroche,09/01/21 22:40:25,1,Gracias a confía por su información se les agradece mucho,view comment
15,,rina.peres.33,28/01/21 22:28:18,0,No me sale el calendario,view comment
,15-1,afp.confia,28/01/21 22:57:38,0,"@rina.peres.33 buen día, las fechas las encuentras deslizando hacia la derecha la imagen 😉",view comment
1,,rg672883,29/01/21 03:09:45,0,Ayuda  yo queria que me Ayudarán con lo que medescontaron en este 2020 supuestamente ya creo ya use una cita el 1 de marzo espero que asesoría para poder que puedan ala cuenta del banco Cuscatlán,view comment
,1-1,afp.confia,29/01/21 14:57:28,0,"@rg672883 Buen día. Para brindarte una asesoría más integral sobre tu caso, puedes llamar al 2267-7777, opción 0, si no también escribir por Whatsapp al mismo número. Recuerda que para ser atendido por un Asesor, debes enviar la palabra “Ayuda” en dicha plataforma.",view comment
1,,queenoemylopez,14/01/21 20:14:40,0,Necesito un estado de cunta,view comment
