"text.Comment","text.text_tokens","text.V3","emotion","polarity"
"pues si  pero no  me corresponden  para  actualizar  mis datos",NA,"pues si pero no me corresponder parar actualizar mi dato","unknown","negative"
"Pregunta: ¿Debo hacer una cita previa para presentar mi solicitud de anticipo de fondo?",NA,"preguntar : ¿ deber hacer unir citar previo parar presentar mi solicitud de anticipar de fondo ?","unknown","positive"
"@afpcrecersv algún teléfono de Whatsap?",NA,"@afpcrecersv alguno teléfono de whatsap ?","unknown","positive"
"Una pregunta para anticipo de mi ahorro que debo de a ser",NA,"unir preguntar parar anticipar de mi ahorrar que deber de a ser","unknown","positive"
"<U+0001F44F><U+0001F44F><U+0001F44F>",NA,"<U+0001F44F> <U+0001F44F> <U+0001F44F>","unknown","positive"
"Que debo hacer para acceder al anticipo de mi ahorro",NA,"que deber hacer parar acceder al anticipar de mi ahorrar","unknown","positive"
"Número de teléfono para hacer cita",NA,"número de teléfono parar hacer citar","unknown","positive"
"Buenos días, necesito actualizar datos pero en ningún sitio responden,",NA,"bueno día , necesitar actualizar dato pero en ninguno sitiar responder ,","unknown","positive"
"@afpcrecersv gracias",NA,"@afpcrecersv gracia","unknown","positive"
"Para actualizar datos tengo que hacer cita hasta febrero?",NA,"parar actualizar dato tener que hacer citar hasta febrero ?","unknown","positive"
"Excelente <U+0001F44F><U+0001F44F><U+0001F44F><U+0001F44F><U+0001F44F> estaremos pendientes",NA,"excelente <U+0001F44F> <U+0001F44F> <U+0001F44F> <U+0001F44F> <U+0001F44F> estar pendiente","unknown","positive"
"<U+0001F44F><U+0001F44F><U+0001F44F><U+0001F44F><U+0001F44F>me parece fabuloso felicitaciones",NA,"<U+0001F44F> <U+0001F44F> <U+0001F44F> <U+0001F44F> <U+0001F44F> me parecer fabuloso felicitación","unknown","positive"
"<U+0001F44F><U+0001F44F><U+0001F44F><U+0001F44F>",NA,"<U+0001F44F> <U+0001F44F> <U+0001F44F> <U+0001F44F>","unknown","positive"
"Y para el caso que el beneficiario esta fuera del pais????",NA,"y parar el casar que el beneficiario este ir del pais ? ? ? ?","unknown","positive"
"Gracias,le diré a mi padre que este pendiente de su llamada.",NA,"gracia , le decir a mi padre que este pendiente de su llamar .","unknown","positive"
"Exelente<U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F>",NA,"exelente <U+2764> <U+2764> <U+2764>","unknown","positive"
"Esto no es cierto yo he pasado horas por todas las maneras en web, wp y telrno y no hago contacto... Gran estafa",NA,"este no ser cierto yo haber pasar hora por todo el manera en web , wp y telrno y no hacer contactar . . . gran estafar","unknown","negative"
"@claudia_r_reyes cierto no responden, pintados están.",NA,"@claudia_r_reyes cierto no responder , pintado estar .","unknown","negative"
"Es imposible poder acceder ya intente varias veces, he llamado y no contesta he mandado correo",NA,"ser imposible poder acceder ya intentar vario vez , haber llamar y no contestar haber mandar correar","unknown","negative"
"Quiero una cita por favor",NA,"querer unir citar por favor","joy","positive"
"@afpcrecersv me puede confirmar si hasta en marzo tengo la cita",NA,"@afpcrecersv me poder confirmar si hasta en marzo tener el citar","unknown","positive"
"Me puede dar el link para la tarjeta electrónica",NA,"me poder dar el link parar el tarjeta electrónico","unknown","positive"
"Estoy a la espera de Resolución para llegar a firmar para comenzar a recibir la pensión",NA,"estar a el esperar de resolución parar llegar a firmar parar comenzar a recibir el pensión","joy","positive"
"Llegué a la cita que tenía con afpcrecer los heroes y me dijeron que debo de hacer otra cita por que tengo conocido por joel y el dui aparece josé pero ya hace muchos años hice el juicio de identidad adonde josé y joel pertenecen a la misma persona y no temgo que hacer mas trámites",NA,"llegar a el citar que tener con afpcrecer el heroes y me decir que deber de hacer otro citar por que tener conocer por joel y el dui aparecer josé pero ya hacer mucho año hacer el juicio de identidad adonde josé y joel pertenecer a el mismo personar y no temgo que hacer mas trámite","unknown","negative"
"Yo quiero una cita",NA,"yo querer unir citar","unknown","positive"
"@afpcrecersv hola buenos dias quiero agendar una cita para el 24 de marzo de 2021",NA,"@afpcrecersv hola bueno dias querer agendar unir citar parar el 24 de marzo de 2021","unknown","positive"
"@anthonyhernandez_10",NA,"@anthonyhernandez_10","unknown","positive"
"Buenos días ",NA,"bueno día","unknown","positive"
"Como lo optengo",NA,"comer el optengo","unknown","positive"
"Buenos días para poder visitarlos se asen citas",NA,"bueno día parar poder visitarlos se asar cita","unknown","positive"
"@afpcrecersv gracias muy amable lo tendré en cuenta",NA,"@afpcrecersv gracia muy amable el tener en contar","fear","positive"
"<U+0001F4A9><U+0001F400>Ladrones regresen mi dinero no más afp el robo del siglo haciendo dinero a costillas de otros eso no es inteligencia es delincuencia nadie quiere afp y nos obligaron malditos parásitos políticos",NA,"<U+0001F4A9> <U+0001F400> ladrón regresar mi dinero no más afp el robar del siglo hacendar dinero a costilla de otro ese no ser inteligencia ser delincuencia nadie querer afp y no obligar maldito parásito político","unknown","negative"
"Esto fue el peor error de ARENA y que el presidente Nayib tiene que arreglar con la mayoría en la asamblea un buen reto",NA,"este ir el peor error de arenar y que el presidente nayib tener que arreglar con el mayoría en el asamblea uno bueno retar","unknown","negative"
"Buenos días.",NA,"bueno día .","unknown","positive"
"Estos es lo peor que hemos tenido en la historua herencia de ARENA pero que el presidente Bukele tiene que cambiar esto para el bien de todos los cotizantes, los que ya no cotizamos deberia ser obligación devolver lo cotizado ya que en el futuro no tendremos ningun veneficio ni mucho menos nuestro dinero gana intereses si no que le cobran cada año y el dinero es cada dia menos",NA,"este ser el peor que haber tener en el historua herencia de arenar pero que el presidente bukele tener que cambiar este parar el bien de todo el cotizante , el que ya no cotizar deberia ser obligación devolver el cotizar ya que en el futuro no tener ningun veneficio ni mucho menos nuestro dinero ganar interés si no que le cobrar cada año y el dinero ser cada dia menos","joy","negative"
"Necesito información de cómo puedo adquirir un adelanto de mi dinero cotizado ya no trabajo .q requisitos necesito",NA,"necesitar información de cómo poder adquirir uno adelantar de mi dinero cotizar ya no trabajar . q requerir necesitar","unknown","negative"
"Hágame el favor de contactar me una cita por favor",NA,"hágame el favor de contactar me unir citar por favor","joy","positive"
"Quisiera saber cómo va mí trámite",NA,"querer saber cómo ir mí trámite","unknown","positive"
"@afpcrecersv no me aparece nada en los correos",NA,"@afpcrecersv no me aparecer nadar en el correo","unknown","negative"
"Buenas tarde,deseo obtener el anticipo",NA,"bueno tardar , desear obtener el anticipar","surprise","positive"
"Como logro,pues me piden clave pero me dicen que ya hice 2 intentos ya espero 24,y pasa el tiempo y me sale lo mismo,por favor necesito saber que pasa?",NA,"comer lograr , pues me pedir clavar pero me decir que ya hacer 2 intento ya esperar 24 , y pasar el tiempo y me salar el mismo , por favor necesitar saber que pasar ?","joy","positive"
"El día 7 de enero hice la solicitud y ya me la aprobaron, cuánto más debo esperar para el desembolso?",NA,"el día 7 de enero hacer el solicitud y ya me el aprobar , cuánto más deber esperar parar el desembolsar ?","joy","positive"
"@afpcrecersv yo lo hice el 7 de enero",NA,"@afpcrecersv yo el hacer el 7 de enero","unknown","positive"
"A mi me toca en mayo la comprobación lo debo hacer este mes o el mes que ya me habían dicho?",NA,"a mi me tocar en mayar el comprobación el deber hacer este mes o el mes que ya me haber decir ?","unknown","positive"
"@afpcrecersv gracias",NA,"@afpcrecersv gracia","unknown","positive"
"En el caso de mi pá, que el es el pensionado puedo seguirle mandando la foto de el con el DUI por WhatsApp o tengo que bajar la app? A veces me caen mensajes para la comprobación y que mande la foto",NA,"en el casar de mi pá , que el ser el pensionar poder seguirle mandar el foto de el con el dui por whatsapp o tener que bajar el app ? a vez me caer mensaje parar el comprobación y que mandar el foto","sadness","positive"
"Buenas tardes. Me gustaría saber si actualizaron mis datos en el sistema",NA,"bueno tardar . me gustar saber si actualizar mi dato en el sistema","unknown","positive"
"Buenas tardes me gustaría consultar...mi suegra no pudo asistir el año pasado a firmar  sobrevivencia le tocaba en mayo lo puede hacer este día enviando un vídeo? O esperar hasta este año",NA,"bueno tardar me gustar consultar . . . mi suegro no poder asistir el año pasar a firmar sobrevivencia le tocar en mayar el poder hacer este día enviar uno vídeo ? o esperar hasta este año","joy","negative"
"@afpcrecersv gracias,",NA,"@afpcrecersv gracia ,","unknown","positive"
"No sé puede comunicar por ningún canal, no responden. Mi mamá envío el video de sobrevivencia y no le han depositado",NA,"no saber poder comunicar por ninguno canal , no responder . mi mamá enviar el video de sobrevivencia y no le haber depositar","unknown","negative"
"No se puede acceder por ningún canal. Es una farsa",NA,"no se poder acceder por ninguno canal . ser unir farsa","unknown","negative"
"Quiero retirar mi dinero!!!",NA,"querer retirar mi dinero ! ! !","unknown","positive"
"Quiero retirar mi dinero",NA,"querer retirar mi dinero","unknown","positive"
"Buenas tardes  mi hermano cotizó 20 años  x la pandemia El perdió su trabajo de edad tiene  56 años  puede pedir adelanto  espero respuesta  gracias x su tiempo",NA,"bueno tardar mi hermanar cotizar 20 año x el pandemia el perder su trabajar de edad tener 56 año poder pedir adelantar esperar respuesta gracia x su tiempo","joy","positive"
"@afpcrecersv gracias!!!",NA,"@afpcrecersv gracia ! ! !","unknown","positive"
"Buenas tardes",NA,"bueno tardar","unknown","positive"
"Hola quisiera q me ayudara Ami tío no le an depositado",NA,"hola querer q me ayudar ami tío no le an depositar","unknown","negative"
"Hola  por wasap les mando cada vez que me piden mis datos y no me responden",NA,"hola por wasap les mandar cada vez que me pedir mi dato y no me responder","unknown","negative"
"No contestan necesito hacer cita sobre vivencia ana María de Portillo 7786 6940",NA,"no contestar necesitar hacer citar sobrar vivencia ana maría de portillo 7786 6940","unknown","negative"
"Me informaro de una asesoria por video llamada y me dejaron esperando",NA,"me informaro de unir asesoria por video llamar y me dejar esperar","joy","positive"
"No me pueden llamar 7786 6940",NA,"no me poder llamar 7786 6940","unknown","negative"
"No puedo recibir mi estado de cuenta porque lo he cambiado",NA,"no poder recibir mi estar de contar porque el haber cambiar","unknown","negative"
