"text.X.U.FEFF.Comment","text.text_tokens","text.V3","emotion","polarity"
"Cuantos años tengo en total trabajados ? ",NA,"cuanto año tener en total trabajar ?","unknown","positive"
"No sirve ese link",NA,"no servir ese link","unknown","negative"
"Hola cuantos años tengo trabajados",NA,"hola cuanto año tener trabajar","unknown","positive"
"soy Ana arbelica domingues y quesirea saber cuántos años tengo cotizados",NA,"ser ana arbelica domingues y quesirea saber cuánto año tener cotizar","unknown","positive"
"No me reconoce el DUI",NA,"no me reconocer el dui","unknown","negative"
"Quiero mi historial laboral, tengo dudas si pagaron AFP en unos colegios donde trabajé",NA,"querer mi historial laboral , tener duda si pagar afp en uno colegio donde trabajar","unknown","positive"
"Jesus,Morales,Gomez,yamande,elvideo,fotosdel,DUI,ynomean,respondido,quemascepuedehacer,nececito,eldinero",NA,"jesus , moral , gomez , yamande , elvideo , fotosdel , dui , ynomean , responder , quemascepuedehacer , nececito , eldinero","unknown","positive"
"Hola buen día, quisiera actualizar mis datos porq no se a que correo me los mandan cuando solicito mi estado de cuenta y ademas quiero solicitar mi adelanto de saldo también.",NA,"hola bueno día , querer actualizar mi dato porq no se a que correar me el mandar cuando solicitar mi estar de contar y adema querer solicitar mi adelantar de saldar también .","unknown","negative"
"AFP Crecer pero igual ayer llame en dos ocasiones 10 minutos espere en cada llamada me acabe el saldo y no me contestaron",NA,"afp crecer pero igual ayer llamar en do ocasión 10 minuto esperar en cada llamar me acabar el saldar y no me contestar","joy","negative"
"AFP Crecer si ya me resolvieron, muchas gracias. ",NA,"afp crecer si ya me resolver , mucho gracia .","unknown","positive"
"AFP Crecer como es que le pueden negar su dinero a uno, solicite mi adelanto y me lo negaron y según yo cumplo con los  requisitos, bueno según los que leí. ",NA,"afp crecer comer ser que le poder negar su dinero a unir , solicitar mi adelantar y me el negar y según yo cumplir con el requerir , bueno según el que leer .","joy","positive"
"AFP Crecer ahorita envío el inbox",NA,"afp crecer ahorita enviar el inbox","unknown","positive"
"Necesito programar una cita nunca contestan tel. De atencion",NA,"necesitar programar unir citar nunca contestar tel . de atencion","unknown","positive"
"Si quero.mi.istorial por f",NA,"si quero.mi.istorial por f","unknown","positive"
"Buenas tardes queria consultar por el calendario de pensiones.",NA,"bueno tardar queria consultar por el calendario de pensión .","unknown","positive"
"Jessy Sanchez ",NA,"jessy sanchez","unknown","positive"
"AFP Crecer muchas gracias",NA,"afp crecer mucho gracia","unknown","positive"
"Ok",NA,"ok","unknown","positive"
"Quiero mi estado de cuentas por favor!!!",NA,"querer mi estar de contar por favor ! ! !","joy","positive"
"Hola necesito saber mi estado de cuenta pero  no tengo correo",NA,"hola necesitar saber mi estar de contar pero no tener correar","unknown","negative"
"AFP Crecer como puedo pedir cita para ir a poner de beneficiario a mi hijo",NA,"afp crecer comer poder pedir citar parar ir a poner de beneficiario a mi hijo","unknown","positive"
"No tengo correo.pueden mandarme mi estado de cuenta directo a mi facebook?",NA,"no tener correo.pueden mandarme mi estar de contar directo a mi facebook ?","unknown","negative"
"AFP Crecer diganme si aplico al anticipo del 25%.",NA,"afp crecer diganme si aplicar al anticipar del 25 % .","unknown","positive"
"AFP Crecer solo diganme q documentos les envió.para que me puedan decir si aplico.",NA,"afp crecer solo diganme q documento les envió.para que me poder decir si aplicar .","unknown","positive"
"Buen dia",NA,"bueno dia","unknown","positive"
"AFP Crecer quiero sabet si aplico o no",NA,"afp crecer querer sabet si aplicar o no","unknown","negative"
"Esa es la pregunta",NA,"ese ser el preguntar","unknown","positive"
"No puedo ingresar <U+0001F614>",NA,"no poder ingresar <U+0001F614>","unknown","negative"
"Gracias",NA,"gracia","unknown","positive"
"Buenas quisiera actualizar mis datos ... hace mucho q no lo hago",NA,"bueno querer actualizar mi dato . . . hacer mucho q no el hacer","unknown","negative"
"Quiero istorial de laboral mi cuenta",NA,"querer istorial de laboral mi contar","unknown","positive"
"Carla Lizama de Rodríguez ",NA,"carla lizama de rodríguez","unknown","positive"
"Y para agendar cita para la inpep dicen que hay que ir a Afp crecer a sacarla",NA,"y parar agendar citar parar el inpep decir que haber que ir a afp crecer a sacarla","unknown","positive"
"yo le pregunto si me toca firmar hoy en enero o en julio y no me contesta como puedo hacer por favor gracias",NA,"yo le preguntar si me tocar firmar hoy en enero o en julio y no me contestar comer poder hacer por favor gracia","joy","negative"
"AFP Crecer gracias muchas gracias bendiciones <U+0001F44D>",NA,"afp crecer gracia mucho gracia bendición <U+0001F44D>","unknown","positive"
"Para cuando está programado el pagó de la pensión.",NA,"parar cuando estar programar el pagar de el pensión .","unknown","positive"
"Necesito me ayude. Quiero modificar mi apellido ",NA,"necesitar me ayudar . querer modificar mi apellidar","unknown","positive"
"Hola buenas y hay aunmento de pension quisiera saber ???",NA,"hola bueno y haber aunmento de pension querer saber ? ? ?","unknown","positive"
"Hace varios días estoy pidiendo el estado de cuenta y por gusto la misma computadora te contestas??o ya lo tienen programada para aburrir al cliente ...desgracia de servicio y atención al cliente deberían de poner personal al día capacitado para resolver consultas y dudas..saludos",NA,"hacer vario día estar pedir el estar de contar y por gustar el mismo computador te contestar ? ? o ya el tener programar parar aburrir al cliente . . . desgraciar de servicio y atención al cliente deber de poner personal al día capacitar parar resolver consulta y duda . . saludo","sadness","positive"
"Ayuda señores por favor necesito informacion",NA,"ayudar señor por favor necesitar informacion","joy","positive"
"AFP Crecer gracias",NA,"afp crecer gracia","unknown","positive"
"AFP Crecer ok",NA,"afp crecer ok","unknown","positive"
"Cuando le sale el día no sale la hora cómo se hace allí por eso no le aceptan a uno",NA,"cuando le salar el día no salar el hora cómo se hacer allí por ese no le aceptar a unir","unknown","negative"
"Si lo pongo pero la hora no da",NA,"si el poner pero el hora no dar","unknown","negative"
"amigo Carlos Pacas",NA,"amigar carlos paca","unknown","positive"
"Yo nese sito ablar por teléfono con algún asesor.porque ustedes piden coreo actualizado.iyo no tengo coreo por qué seme perdió la contraseña.",NA,"yo nese sito ablar por teléfono con alguno asesor.porque vosotros pedir corear actualizado.iyo no tener corear por qué seme perder el contraseña .","unknown","negative"
