"X.U.FEFF.Comment","text_tokens","V3"
"Gracias mucho éxito para ustedes "," ","gracia mucho éxito parar vosotros"
"Información de la gestión de  anticipo que inicie quiero"," ","información de el gestión de anticipar que iniciar querer"
"Buenos dias"," ","bueno dias"
"Kiero información de anticipo"," ","kiero información de anticipar"
"Y si sólo quiero hacer cambio de correo electrónico para recibir mi estado de cuentas, cuáles son los requisitos"," ","y si sólo querer hacer cambiar de correar electrónico parar recibir mi estar de contar , cuál ser el requerir"
"AFP CONFIA , si eso trate de hacer en Facebook, y me atendió el robot TESSA, creo que es al final me seguía mandando información al correo anterior, pero al final me dice que un asesor me atenderá, eso fue como el 1 de enero, y hasta el día de hoy sigo esperando que algún asesor se comunique conmigo, creo que llamaré gracias"," ","afp confia , si ese tratar de hacer en facebook , y me atender el robot tessa , crear que ser al final me seguir mandar información al correar anterior , pero al final me decir que uno asesor me atender , ese ir comer el 1 de enero , y hasta el día de hoy seguir esperar que alguno asesor se comunicar conmigo , crear que llamar gracia"
"Yo eh visitado la del Salvador del mundo, la de Juan Pablo II y cuando estaba abierta la de Soyapango, y gracias a Dios siempre me atendieron bien, muy amables y serviciales, hasta el momento no tengo de que quejarme, me quejo de las empresas en las que trabaje y no me pagaron AFP, a pesar que me la descontaban. Espero que los que hayan tenido mala atención, pronto les resuelvan, cuídense mucho"," ","yo eh visitar el del salvador del mundo , el de juan pablar ii y cuando estar abrir el de soyapango , y gracia a dios siempre me atender bien , muy amable y servicial , hasta el momento no tener de que quejarme , me quejar de el empresa en el que trabajar y no me pagar afp , a pesar que me el descontar . esperar que el que haber tener malo atención , pronto les resolver , cuídense mucho"
"Yo kisiera saber si yo puedo ser uno de los beneficiario del hantisipo"," ","yo kisiera saber si yo poder ser unir de el beneficiario del hantisipo"
"Como puedo hacer estoy jubilado por invalidez en febrero me toca firmar como puedo hacer"," ","comer poder hacer estar jubilar por invalidez en febrero me tocar firmar comer poder hacer"
"Buenas tardes, mi control de sobrevivencia es en Febrero, puedo hacerlo hoy?"," ","bueno tardar , mi control de sobrevivencia ser en febrero , poder hacerlo hoy ?"
"Yo entré a esa aplicación de watsap medisen ingrese su número lo ingreso pero medisen qué no tienen esa información e llamado nunca me atienden nose qu pasara con mi estado de cuenta"," ","yo entrar a ese aplicación de watsap medisen ingresar su número el ingresar pero medisen qué no tener ese información e llamar nunca me atender nose qu pasar con mi estar de contar"
"Yo entre aplicación de watsap medisen q ingresé su número lo ingreso pero medise que nos tienen esa información nosé que pasará con m estado de cuenta de m papá"," ","yo entrar aplicación de watsap medisen q ingresar su número el ingresar pero medise que no tener ese información nosé que pasar con metro estar de contar de metro papá"
"Solo quiero saber mi estado d cuenta"," ","solo querer saber mi estar d contar"
"Mi control de sobrevivencia es en abril se puede antes"," ","mi control de sobrevivencia ser en abril se poder antes"
"Necesito saber si mi control de sobrevivencia se me venció.y como hacer para actualizarlo."," ","necesitar saber si mi control de sobrevivencia se me venció.y comer hacer parar actualizarlo ."
"Buenas tarde y para ser cita como se hace"," ","bueno tardar y parar ser citar comer se hacer"
"Como puedo hacer mi control de sobrevivencia sin ir personalmente? Por lo de la Pandemia"," ","comer poder hacer mi control de sobrevivencia sin ir personalmente ? por el de el pandemia"
"AFP CONFIA  muchas gracias"," ","afp confia mucho gracia"
"Solicito cita control de sobrevivencia"," ","solicitar citar control de sobrevivencia"
"Buenos días yo quiciera saber si un persona que trabajo y cotizo asta el año 96 y se retiró y ahora ella puede reclamar lo que cotizo y si lo puede hacer otra persona"," ","bueno día yo quiciera saber si uno personar que trabajar y cotizar asta el año 96 y se retirar y ahora él poder reclamar el que cotizar y si el poder hacer otro personar"
"Nora Gonzalez de Hirlemann"," ","nora gonzalez de hirlemann"
"Buenos días disculpen mi madre quiere saber que fecha les depositarán en dinero de sobrevivencia x fabor..serian tan amables"," ","bueno día disculpar mi madre querer saber que fechar les depositar en dinero de sobrevivencia x fabor . . seriar tan amable"
"Muchas gracias y bendiciones"," ","mucho gracia y bendición"
"Como puedo  hacer para aplicar al angicipo"," ","comer poder hacer parar aplicar al angicipo"
"AFP CONFIA yo igual un anticipo tengo 57 anos sigo cotizando que puedo aser"," ","afp confia yo igual uno anticipar tener 57 ano seguir cotizar que poder aser"
"Hola me gustaria recibir mi estado de cuenta"," ","hola me gustaria recibir mi estar de contar"
"Yo quiero mi estado de cuenta"," ","yo querer mi estar de contar"
"Hola yo quiero mi estado de cuenta"," ","hola yo querer mi estar de contar"
"22677777"," ","22677777"
"Nesesito mi estado de cuenta"," ","nesesito mi estar de contar"
" Siempre lo mandan al correo"," ","siempre el mandar al correar"
"Nesecito un estado decuenta"," ","nesecito uno estar decuenta"
"Buenas  necenecesito  un estado de cuenta como hago ??"," ","bueno necenecesito uno estar de contar comer hacer ? ?"
"Como puedo solicitar mi tarjeta de afiliado"," ","comer poder solicitar mi tarjeta de afiliar"
"Para un estado de cuenta"," ","parar uno estar de contar"
"Buenas tardes necesito solicitar un estado de cuenta "," ","bueno tardar necesitar solicitar uno estar de contar"
"Quisiera verificar mi dirección un estado de cuenta"," ","querer verificar mi dirección uno estar de contar"
"Necesito aplicar para el anticipo  como se Ace"," ","necesitar aplicar parar el anticipar comer se ace"
"AFP CONFIA si ya retire el 25% ya no puedo optar por otro anticipo"," ","afp confia si ya retirar el 25 % ya no poder optar por otro anticipar"
"AFP CONFIA el trámite es personal o  en linia"," ","afp confia el trámite ser personal o en linia"
"AFP CONFIA gracias pero mi pregunta es que si se puede empezar el proceso un mes antes se cumplir los 50 años "," ","afp confia gracia pero mi preguntar ser que si se poder empezar el procesar uno mes antes se cumplir el 50 año"
"Hola yo siempre mando el mensaje y lo q me disen q no encuentran datos y les e mandado mi nombre completo y mi numero d dui y q puedo aser entonces xq yo aqui tengo mi numero d cuenta d la AFP"," ","hola yo siempre mandar el mensaje y el q me disen q no encontrar dato y les e mandar mi nombrar completar y mi numerar d dui y q poder aser entonces xq yo aqui tener mi numerar d contar d el afp"
"Buenas tardes me podrian dar los Requisitos para poder aplicar al anticipo   gracias"," ","bueno tardar me podrian dar el requerir parar poder aplicar al anticipar gracia"
"Nesesito un adelanto de mi ahorro...cuales son los requisitos...."," ","nesesito uno adelantar de mi ahorrar . . . cual ser el requerir . . . ."
"AFP CONFIA tengo una duda, si estoy desempleado, pero cumplo los requisitos, puedo aplicar a este  eneficio de anticipo?Gracias. "," ","afp confia tener unir dudar , si estar desempleado , pero cumplir el requerir , poder aplicar a este eneficio de anticipar ? gracia ."
"AFP CONFIA muchas gracias, muy amable. "," ","afp confia mucho gracia , muy amable ."
"Gaby C Melara  "," ","gaby c melar"
"Me pueden enviar mi estado de cuenta?"," ","me poder enviar mi estar de contar ?"
"Qué requisitos debo tener para jubilarme"," ","qué requerir deber tener parar jubilarme"
"Yo necesito saber  cuanto son los años cotizados q tengo  con exactitud  xq en el anticipo se lo piden y en el estado de cuenta no dice los años exactos como puedo saber"," ","yo necesitar saber cuanto ser el año cotizar q tener con exactitud xq en el anticipar se el pedir y en el estar de contar no decir el año exacto comer poder saber"
"AFP CONFIA ok lo are "," ","afp confia ok el arar"
"Cual es el numero de whatssap??"," ","cual ser el numerar de whatssap ? ?"
"He ingresado ese mismo numero y no me sale "," ","haber ingresar ese mismo numerar y no me salar"
"Sra.afp.confia.puedo ir alas oficinas a firmar la Sobrevivencia.estuve hablando por teléfono y nunca me contestaron.lo quise hacer por messenger y no pude hacerlo. Y en este mes me toca firmar."," ","sra.afp.confia.puedo ir ala oficina a firmar el sobrevivencia.estuve hablar por teléfono y nunca me contestaron.lo querer hacer por messenger y no poder hacerlo . y en este mes me tocar firmar ."
"Yo estoy registrada y me mandaban el estado de cuenta cada 3 meses Pero este año no me lo an mandado Me puede explicar xq"," ","yo estar registrar y me mandar el estar de contar cada 3 mes pero este año no me el an mandar me poder explicar xq"
"Hola buenos días yo que por motivo de la pandemia desde marzo del año pasado estoy sin trabajar puedo retirar un anticipo de mis ahorros"," ","hola bueno día yo que por motivar de el pandemia desde marzo del año pasar estar sin trabajar poder retirar uno anticipar de mi ahorro"
"Como puedo hácer para solicitar mi anticipó del 25%."," ","comer poder hácer parar solicitar mi anticipar del 25 % ."
"AFP CONFIA. Muchas gracias ya la mandé la solicitud. El problema qué el formulario qué complete, no piden el número de cuenta del Banco no sé cómo hácer yo Ya tengo cuenta de ahorro con el Banco agrícola cómo hago para dar mi cuenta.  Gracias"," ","afp confia . mucho gracia ya el mandar el solicitud . el problema qué el formulario qué completar , no pedir el número de contar del banco no saber cómo hácer yo ya tener contar de ahorrar con el banco agrícola cómo hacer parar dar mi contar . gracia"
