"X.U.FEFF.Comment","text_tokens","V3"
"Cuantos años tengo en total trabajados ? "," ","cuanto año tener en total trabajar ?"
"Marvin Cabrera Hola, puedes realizar tus consultas por nuestros canales remotos:: Línea de atención 2211-9393, WhatsApp 6161-2222, sitio web http://crecer.com.sv, correo electrónico atencion@crecer.com.sv y mensajes inbox en redes sociales. Saludos."," ","marvin cabrero hola , poder realizar tu consulta por nuestro canal remoto : : líneo de atención 2211-9393 , whatsapp 6161-2222 , sitiar web http://crecer.com.sv , correar electrónico atencion @crecer . com.sv y mensaje inbox en red social . saludo ."
"No sirve ese link"," ","no servir ese link"
"Hola, puedes ingresar a AFP Crecer en Línea.Saludos. "," ","hola , poder ingresar a afp crecer en línea.saludos ."
"Hola cuantos años tengo trabajados"," ","hola cuanto año tener trabajar"
"Maycol Aguirre Hola, puedes realizar tus consultas por nuestros canales remotos:: Línea de atención 2211-9393, WhatsApp 6161-2222, sitio web http://crecer.com.sv, correo electrónico atencion@crecer.com.sv y mensajes inbox en redes sociales. Saludos."," ","maycol aguirre hola , poder realizar tu consulta por nuestro canal remoto : : líneo de atención 2211-9393 , whatsapp 6161-2222 , sitiar web http://crecer.com.sv , correar electrónico atencion @crecer . com.sv y mensaje inbox en red social . saludo ."
"soy Ana arbelica domingues y quesirea saber cuántos años tengo cotizados"," ","ser ana arbelica domingues y quesirea saber cuánto año tener cotizar"
"Ana Arbelica Dominguez . Hola,  puedes realizar tus consultas por nuestros canales remotos:: Línea de atención 2211-9393, WhatsApp 6161-2222, sitio web http://crecer.com.sv, correo electrónico atencion@crecer.com.sv y mensajes inbox en redes sociales. Saludos."," ","ana arbelica dominguez . hola , poder realizar tu consulta por nuestro canal remoto : : líneo de atención 2211-9393 , whatsapp 6161-2222 , sitiar web http://crecer.com.sv , correar electrónico atencion @crecer . com.sv y mensaje inbox en red social . saludo ."
"No me reconoce el DUI"," ","no me reconocer el dui"
"Zoila Elizabeth Rivera Te hemos respondido vía inbox."," ","zoila elizabeth rivera te haber responder vía inbox ."
"Quiero mi historial laboral, tengo dudas si pagaron AFP en unos colegios donde trabajé"," ","querer mi historial laboral , tener duda si pagar afp en uno colegio donde trabajar"
"Zoila Elizabeth Rivera Hola, te comentamos que puedes solicitar tu historial laboral por diferentes vías: 1) Escribiendo directamente a: atencion@crecer.com.sv especificando tu nombre completo, DUI y fecha de nacimiento o NUP así como el periodo de tiempo que deseas en el documento. 2) Llamando al 2211-9393 de lunes a viernes 8am-6pm y sábado 8am-12pm, brindar los datos antes mencionados más tu correo electrónico. 3) Solicitando el envío por medio de nuestras redes sociales, solo debes proporcionarnos la información antes detallada para realizar la gestión. 4) Registrándote en nuestro sitio web. 5) Solicítalo vía whatsapp al 6161-2222.Si tus datos no están actualizados, deberás realizar la solicitud llamando al 2211-9393, actualizar tu perfil y así obtener la información. Será un gusto poder ayudarte. Saludos."," ","zoila elizabeth rivera hola , te comentar que poder solicitar tu historial laboral por diferente vía : 1 ) escribir directamente a : atencion @crecer . com.sv especificar tu nombrar completar , dui y fechar de nacimiento o nup asir comer el periodo de tiempo que desear en el documentar . 2 ) llamar al 2211-9393 de lunes a viernes 8am-6pm y sábado 8am-12pm , brindar el dato antes mencionar más tu correar electrónico . 3 ) solicitar el enviar por mediar de nuestro red social , solo debe proporcionarnos el información antes detallar parar realizar el gestión . 4 ) registrándote en nuestro sitiar web . 5 ) solicítalo vía whatsapp al 6161-2222 . si tu dato no estar actualizar , deber realizar el solicitud llamar al 2211-9393 , actualizar tu perfil y asir obtener el información . ser uno gustar poder ayudarte . saludo ."
"Jesus,Morales,Gomez,yamande,elvideo,fotosdel,DUI,ynomean,respondido,quemascepuedehacer,nececito,eldinero"," ","jesus , moral , gomez , yamande , elvideo , fotosdel , dui , ynomean , responder , quemascepuedehacer , nececito , eldinero"
"Jesús Gomes Te hemos respondido vía inbox."," ","jesús gomes te haber responder vía inbox ."
"Hola buen día, quisiera actualizar mis datos porq no se a que correo me los mandan cuando solicito mi estado de cuenta y ademas quiero solicitar mi adelanto de saldo también."," ","hola bueno día , querer actualizar mi dato porq no se a que correar me el mandar cuando solicitar mi estar de contar y adema querer solicitar mi adelantar de saldar también ."
"Carmen Arocha Hola, para actualizar tus datos puedes llamar al 2211-9393, escribir al whatsapp 6161-2222, enviar un mensaje inbox en Facebook o Twitter, ingresar a tu usuario Crecer en https://enlinea.crecer.com.sv/ o escribir al correo atencion@crecer.com.sv y con mucho gusto te ayudaremos. Saludos."," ","carmen arocha hola , parar actualizar tu dato poder llamar al 2211-9393 , escribir al whatsapp 6161-2222 , enviar uno mensaje inbox en facebook o twitter , ingresar a tu usuario crecer en https://enlinea.crecer.com.sv/ o escribir al correar atencion @crecer . com.sv y con mucho gustar te ayudar . saludo ."
"AFP Crecer pero igual ayer llame en dos ocasiones 10 minutos espere en cada llamada me acabe el saldo y no me contestaron"," ","afp crecer pero igual ayer llamar en do ocasión 10 minuto esperar en cada llamar me acabar el saldar y no me contestar"
"Carmen Arocha Te hemos respondido vía inbox."," ","carmen arocha te haber responder vía inbox ."
"AFP Crecer si ya me resolvieron, muchas gracias. "," ","afp crecer si ya me resolver , mucho gracia ."
"Carmen Arocha Estamos para ayudarte."," ","carmen arocha estar parar ayudarte ."
"AFP Crecer como es que le pueden negar su dinero a uno, solicite mi adelanto y me lo negaron y según yo cumplo con los  requisitos, bueno según los que leí. "," ","afp crecer comer ser que le poder negar su dinero a unir , solicitar mi adelantar y me el negar y según yo cumplir con el requerir , bueno según el que leer ."
"Carmen Arocha Hola, el beneficio de anticipo para 2021 aplica a mujeres de 45 años o más y hombres de 50 años o más que tengan un mínimo de 10 años cotizados al SAP. Estos requisitos deben cumplirse para la solicitud del beneficio, si los reúnes, no tendría que haber problema para el trámite. ¿Podrías brindarnos tus datos vía inbox para verificar el perfil?  Estaremos atentos a tu respuesta. "," ","carmen arocha hola , el beneficiar de anticipar parar 2021 aplicar a mujer de 45 año o más y hombre de 50 año o más que tener uno mínimo de 10 año cotizar al sap . este requerir deber cumplirse parar el solicitud del beneficiar , si el reunir , no tener que haber problema parar el trámite . ¿ poder brindarnos tu dato vía inbox parar verificar el perfil ? estar atento a tu respuesta ."
"AFP Crecer ahorita envío el inbox"," ","afp crecer ahorita enviar el inbox"
"Necesito programar una cita nunca contestan tel. De atencion"," ","necesitar programar unir citar nunca contestar tel . de atencion"
"Elvi Ortiz Hola, para agendar cita debes ingresar a bit.ly/CitaEnAgencia y escoger agencia, día y hora de tu visita. Saludos."," ","elvi ortiz hola , parar agendar citar debe ingresar a bit.ly / citaenagencia y escoger agenciar , día y hora de tu visitar . saludo ."
"Si quero.mi.istorial por f"," ","si quero.mi.istorial por f"
"Raúl Cañas Hola, ingresa a bit.ly/ExpressServicio para poder descargarlo.Saludos. "," ","raúl caña hola , ingresar a bit.ly / expressservicio parar poder descargarlo.saludos ."
"Buenas tardes queria consultar por el calendario de pensiones."," ","bueno tardar queria consultar por el calendario de pensión ."
"Jessy Sanchez "," ","jessy sanchez"
"Jessy Sanchez Hola, ingresa a  a: bit.ly/PagoPensión2021 Saludos."," ","jessy sanchez hola , ingresar a a : bit.ly / pagopensión2021 saludo ."
"AFP Crecer muchas gracias"," ","afp crecer mucho gracia"
"Jessy Sanchez Estamos para ayudarte."," ","jessy sanchez estar parar ayudarte ."
"Ok"," ","ok"
"Quiero mi estado de cuentas por favor!!!"," ","querer mi estar de contar por favor ! ! !"
"George Albert Martin Hola, te comentamos que puedes solicitar tu estado de cuenta por diferentes vías: "," ","george albert martin hola , te comentar que poder solicitar tu estar de contar por diferente vía :"
"Hola necesito saber mi estado de cuenta pero  no tengo correo"," ","hola necesitar saber mi estar de contar pero no tener correar"
"Nuria Miranda Hola, te comentamos que es necesario que poseas correo electrónico personal para poder enviar tu estado de cuenta, ya que por redes sociales no es posible enviar ese tipo de documentos.Saludos."," ","nuria miranda hola , te comentar que ser necesario que poseer correar electrónico personal parar poder enviar tu estar de contar , ya que por red social no ser posible enviar ese tipo de documentos.saludos ."
