x1,x2,Name,Date,Likes,Comment,view
1,,landaverde601,05/01/21 02:49:23,0,pues si  pero no  me corresponden  para  actualizar  mis datos,view comment
,1-1,afpcrecersv,05/01/21 14:52:14,1,@landaverde601 te hemos respondido vía inbox.,view comment
2,,ismaelandrade37,05/01/21 03:59:20,0,Pregunta: ¿Debo hacer una cita previa para presentar mi solicitud de anticipo de fondo?,view comment
,2-1,afpcrecersv,05/01/21 14:53:18,0,"@ismaelandrade37 Hola, te comentamos que el trámite se puede hacer completamente en línea a través de Crecer en Línea. Si deseas hacerlo en agencia debes hacer cita previa.",view comment
,2-2,ismaelandrade37,05/01/21 15:04:22,0,@afpcrecersv algún teléfono de Whatsap?,view comment
,2-3,afpcrecersv,05/01/21 15:31:23,0,"@ismaelandrade37  Hola, puedes comunicarte al 6161-2222 y con mucho gusto un ejecutivo de nuestro equipo te ayudará. Saludos.",view comment
3,,joseerickivanchavar,05/01/21 15:55:45,0,Una pregunta para anticipo de mi ahorro que debo de a ser,view comment
,3-1,afpcrecersv,05/01/21 16:49:54,0,@joseerickivanchavar te hemos respondido vía inbox.,view comment
4,,joseerickivanchavar,05/01/21 15:55:46,0,👏👏👏,view comment
5,,carmenelenaaortiz,06/01/21 00:55:52,0,Que debo hacer para acceder al anticipo de mi ahorro,view comment
,5-1,afpcrecersv,06/01/21 15:41:51,0,@carmenelenaaortiz te hemos respondido vía inbox.,view comment
6,,fannyberroteran_,19/01/21 16:57:00,0,Número de teléfono para hacer cita,view comment
,6-1,afpcrecersv,19/01/21 16:59:54,0,"@fannyberroteran_  Hola, para agendar cita debes ingresar a bit.ly/CitaEnAgencia y escoger agencia, día y hora de tu visita. Saludos.",view comment
7,,fannyberroteran_,19/01/21 17:04:46,0,"Buenos días, necesito actualizar datos pero en ningún sitio responden,",view comment
,7-1,afpcrecersv,19/01/21 17:08:53,0,@fannyberroteran_  Te hemos respondido vía inbox.,view comment
,7-2,fannyberroteran_,20/01/21 00:19:04,0,@afpcrecersv gracias,view comment
,7-3,afpcrecersv,20/01/21 15:08:50,0,@fannyberroteran_  Estamos para ayudarte.,view comment
1,,na_juarez97,04/01/21 19:25:22,0,Para actualizar datos tengo que hacer cita hasta febrero?,view comment
,1-Jan,afpcrecersv,1/4/2021 19:59,0,"@na_juarez97  Hola, para actualizar tus datos puedes llamar al 2211-9393, escribir al whatsapp 6161-2222, enviar un mensaje inbox en Facebook o Twitter, ingresar a tu usuario Crecer en https://enlinea.crecer.com.sv/ o escribir al correo atencion@crecer.co",view comment
1,,blanqui_1984,06/01/21 01:06:33,1,Excelente 👏👏👏👏👏 estaremos pendientes,view comment
,1-1,afpcrecersv,06/01/21 15:43:09,2,@blanqui_1984  Pronto se pondrán en contacto nuestros ejecutivos con los pensionados. ¡Saludos!,view comment
2,,amanda.rivera.50596,06/01/21 03:35:04,1,👏👏👏👏👏me parece fabuloso felicitaciones,view comment
,2-1,afpcrecersv,06/01/21 15:43:53,0,💯,view comment
3,,iluminariasvg,06/01/21 04:36:53,1,👏👏👏👏,view comment
,3-1,afpcrecersv,06/01/21 15:44:06,0,💯,view comment
4,,keilitamag,06/01/21 04:38:40,1,Y para el caso que el beneficiario esta fuera del pais????,view comment
,4-1,afpcrecersv,06/01/21 15:45:21,0,"@keilitamag  Hola, te comentamos que nuestros otros canales seguirán activos para realizar la comprobación de sobrevivencia; además, para biometría no tendrás que visitar una agencia para realizar el registro.¡Saludos!",view comment
5,,iluminariasvg,06/01/21 15:56:49,1,"Gracias,le diré a mi padre que este pendiente de su llamada.",view comment
1,,eljardinerosansalvador,08/01/21 01:46:11,1,Exelente❤️❤️❤️,view comment
1,,claudia_r_reyes,13/01/21 01:18:23,1,"Esto no es cierto yo he pasado horas por todas las maneras en web, wp y telrno y no hago contacto... Gran estafa",view comment
,1-1,afpcrecersv,13/01/21 13:03:44,0,@claudia_r_reyes te hemos respondido vía inbox.,view comment
,1-2,molina_paola99,13/01/21 15:25:21,0,"@claudia_r_reyes cierto no responden, pintados están.",view comment
,1-3,afpcrecersv,13/01/21 15:35:40,0,@molina_paola99 te hemos respondido vía inbox.,view comment
2,,claudia_perez_rr,13/01/21 01:50:51,1,"Es imposible poder acceder ya intente varias veces, he llamado y no contesta he mandado correo",view comment
,2-1,afpcrecersv,13/01/21 13:03:54,0,@claudia_perez_rr te hemos respondido vía inbox.,view comment
1,,joelmelendez84,14/01/21 23:56:12,0,Quiero una cita por favor,view comment
,1-1,afpcrecersv,15/01/21 14:13:23,0,"@joelmelendez84  Hola, debes agendar tu cita ingresando a https://bit.ly/CitaEnAgencia También puedes realizar tus consultas por nuestros canales remotos:: Línea de atención 2211-9393, WhatsApp 6161-2222, sitio web http://crecer.com.sv, correo electrónico atencion@crecer.com.sv y mensajes inbox en redes sociales. Saludos.",view comment
,1-2,joelmelendez84,18/01/21 22:26:47,0,@afpcrecersv me puede confirmar si hasta en marzo tengo la cita,view comment
,1-3,afpcrecersv,18/01/21 22:31:34,0,@joelmelendez84 te hemos respondido vía inbox.,view comment
2,,evagomez2222,16/01/21 17:33:56,0,Me puede dar el link para la tarjeta electrónica,view comment
,2-1,afpcrecersv,18/01/21 15:04:02,0,"@evagomez2222  Hola, te hemos respondido vía inbox.",view comment
3,,evagomez2222,16/01/21 17:34:32,0,Estoy a la espera de Resolución para llegar a firmar para comenzar a recibir la pensión,view comment
,3-1,afpcrecersv,18/01/21 15:04:59,0,"@evagomez2222  Hola, te hemos respondido vía inbox.¡Saludos!",view comment
4,,joelmelendez84,16/03/21 13:12:13,0,Llegué a la cita que tenía con afpcrecer los heroes y me dijeron que debo de hacer otra cita por que tengo conocido por joel y el dui aparece josé pero ya hace muchos años hice el juicio de identidad adonde josé y joel pertenecen a la misma persona y no temgo que hacer mas trámites,view comment
1,,joelmelendez84,15/01/21 21:34:46,0,Yo quiero una cita,view comment
,1-1,afpcrecersv,18/01/21 15:01:58,0,"@joelmelendez84  Hola, debes agendar tu cita ingresando a https://bit.ly/CitaEnAgencia También puedes realizar tus consultas por nuestros canales remotos:: Línea de atención 2211-9393, WhatsApp 6161-2222, sitio web http://crecer.com.sv, correo electrónico atencion@crecer.com.sv y mensajes inbox en redes sociales. Saludos.",view comment
