x1,x2,Name,Username,UserProfile,TweetID,Retweets,Comments,Favorites,IsRetweet?,Date,TweetText,TweetSource,StatusURL
2,,Ixchel,IxchelPerez,https://www.twitter.com/IxchelPerez,ID: 1347222360907243522,0,0,1,no,7/1/2021 16:43,@AFPCrecer Ustedes podrían comprobarme que aún existen? Por todos los medios o no contestan o ponen bots,Twitter for Android,https://www.twitter.com/IxchelPerez/status/1347222360907243522
2,,Roberto Molina,Roberto56639896,https://www.twitter.com/Roberto56639896,ID: 1348127324609372164,0,1,1,no,10/1/2021 04:39,@AFPCrecer Puya pero mucho se tardan... les pago casi el 30% de las aportaciones y se tardan 30 dias habiles para devolverme mi dinero....no jodan.,Twitter for Android,https://www.twitter.com/Roberto56639896/status/1348127324609372164
2,,Carrivera,CarlosA12224318,https://www.twitter.com/CarlosA12224318,ID: 1348739104402526212,0,0,0,no,11/1/2021 21:10,@AFPCrecer Basura ni buena atención al cliente tienen si solo porque esos gobiernos corruptos las pusieron por obligación,Twitter Web App,https://www.twitter.com/CarlosA12224318/status/1348739104402526212
2,,Oscar Rene Lopez,OscarRe24812219,https://www.twitter.com/OscarRe24812219,ID: 1346849562502328320,0,0,0,no,6/1/2021 16:02,@AFPCrecer Pregunta por que los pagos en afp crecer los hacen tan tardíos,Twitter for Android,https://www.twitter.com/OscarRe24812219/status/1346849562502328320
3,,Elsa Marina,ElsaMarLeal2208,https://www.twitter.com/ElsaMarLeal2208,ID: 1371809273383108609,0,0,0,no,16/3/2021 13:03,@AFPCrecer Gracias por la información,Twitter for Android,https://www.twitter.com/ElsaMarLeal2208/status/1371809273383108609
2,,Patricia Garcia Chavez,Patrici40287774,https://www.twitter.com/Patrici40287774,ID: 1349423803483480064,0,0,0,no,13/1/2021 18:31,@AFPCrecer No responden estos contactos que indican aquí,Twitter for Android,https://www.twitter.com/Patrici40287774/status/1349423803483480064
2,,Henry Alas,HenryAlas15,https://www.twitter.com/HenryAlas15,ID: 1348811698740801536,0,1,0,no,12/1/2021 01:59,@AFPCrecer Buen día deseo consultar por mi trámite de retiro de ahorros ya que a través de la embajada lo he solicitado pero aún no he tenido respuesta por parte de ustedes quedo atento a su respuesta.,Twitter for iPhone,https://www.twitter.com/HenryAlas15/status/1348811698740801536
3,,Carlos Sandoval,charliesando1,https://www.twitter.com/charliesando1,ID: 1348815379037106178,0,1,1,no,12/1/2021 02:13,@AFPCrecer Buenas noches. Hace 5 días envie mi solicitud para el adelanto de mi pensión con las imágenes de cuenta DUI y NIT pero aún no responden.  A mí esposa Confía le hizo todo el  trámite en 5 días. Porque la tardanza en Crecer?,Twitter for Android,https://www.twitter.com/charliesando1/status/1348815379037106178
4,,@AFPCrecer,AFPCrecer,https://www.twitter.com/AFPCrecer,ID: 1349006498651926529,0,0,0,no,12/1/2021 14:53,@HenryAlas15 Hola con mucho gusto te ayudaremos. Te hemos respondido vía inbox.,Agorapulse app,https://www.twitter.com/AFPCrecer/status/1349006498651926529
5,,@AFPCrecer,AFPCrecer,https://www.twitter.com/AFPCrecer,ID: 1349006939099979781,0,0,1,no,12/1/2021 14:54,@charliesando1 Hola con mucho gusto te ayudaremos. Te hemos respondido vía inbox.Saludos.,Agorapulse app,https://www.twitter.com/AFPCrecer/status/1349006939099979781
6,,Miguel Angel Romero Villalobos,MiguelA57062138,https://www.twitter.com/MiguelA57062138,ID: 1350507213807374337,0,1,0,no,16/1/2021 18:16,@AFPCrecer Trámite retiro de ahorros y no e tenido repuesta mi numero de DUI 02074287_6,Twitter for Android,https://www.twitter.com/MiguelA57062138/status/1350507213807374337
7,,@AFPCrecer,AFPCrecer,https://www.twitter.com/AFPCrecer,ID: 1351182776863760386,0,0,0,no,18/1/2021 15:00,@MiguelA57062138 Te hemos respondido vía inbox.,Agorapulse app,https://www.twitter.com/AFPCrecer/status/1351182776863760386
2,,MAR IVAN RIVERA MONTERROZA,MARIVANRIVERAM1,https://www.twitter.com/MARIVANRIVERAM1,ID: 1351233952518955021,0,1,0,no,18/1/2021 18:24,@AFPCrecer SOLO NECESITO CALENDARIO  PAGO 2021,Twitter for Android,https://www.twitter.com/MARIVANRIVERAM1/status/1351233952518955021
3,,@AFPCrecer,AFPCrecer,https://www.twitter.com/AFPCrecer,ID: 1351234810358984704,0,0,0,no,18/1/2021 18:27,@MARIVANRIVERAM1 Hola te compartimos el calendario de pagos de pensión 2021: https://t.co/42U2huYbam,Twitter Web App,https://www.twitter.com/AFPCrecer/status/1351234810358984704
2,,Beto Mejía,Adalberto_rma,https://www.twitter.com/Adalberto_rma,ID: 1351183823988518925,0,1,0,no,18/1/2021 15:05,@AFPCrecer Buenos dias hace unos dias falleció un familiar el cotizo afp un tiempo como podenos hacer para retirar el dinero que el cotizo?,Twitter for Android,https://www.twitter.com/Adalberto_rma/status/1351183823988518925
,2-ene,Beto Mejía,Adalberto_rma,https://www.twitter.com/Adalberto_rma,ID: 1351186637066297351,0,1,0,no,18/1/2021 15:16,@AFPCrecer Muchas gracias tenga buen dia,Twitter for Android,https://www.twitter.com/Adalberto_rma/status/1351186637066297351
,2-feb,@AFPCrecer,AFPCrecer,https://www.twitter.com/AFPCrecer,ID: 1351201135378522115,0,0,0,no,18/1/2021 16:13,@Adalberto_rma Estamos para ayudarte.,Agorapulse app,https://www.twitter.com/AFPCrecer/status/1351201135378522115
3,,@AFPCrecer,AFPCrecer,https://www.twitter.com/AFPCrecer,ID: 1351184617940922369,0,1,0,no,18/1/2021 15:08,@Adalberto_rma Hola consulta en https://t.co/SOYAxvsemc Allí podrás verificar los documentos y pasos a seguir.Saludos.,Agorapulse app,https://www.twitter.com/AFPCrecer/status/1351184617940922369
