"text.X.U.FEFF.Comment","text.text_tokens","text.V3","emotion","polarity"
"Gracias mucho éxito para ustedes ",NA,"gracia mucho éxito parar vosotros","unknown","positive"
"Información de la gestión de  anticipo que inicie quiero",NA,"información de el gestión de anticipar que iniciar querer","unknown","positive"
"Buenos dias",NA,"bueno dias","unknown","positive"
"Kiero información de anticipo",NA,"kiero información de anticipar","unknown","positive"
"Y si sólo quiero hacer cambio de correo electrónico para recibir mi estado de cuentas, cuáles son los requisitos",NA,"y si sólo querer hacer cambiar de correar electrónico parar recibir mi estar de contar , cuál ser el requerir","unknown","positive"
"AFP CONFIA , si eso trate de hacer en Facebook, y me atendió el robot TESSA, creo que es al final me seguía mandando información al correo anterior, pero al final me dice que un asesor me atenderá, eso fue como el 1 de enero, y hasta el día de hoy sigo esperando que algún asesor se comunique conmigo, creo que llamaré gracias",NA,"afp confia , si ese tratar de hacer en facebook , y me atender el robot tessa , crear que ser al final me seguir mandar información al correar anterior , pero al final me decir que uno asesor me atender , ese ir comer el 1 de enero , y hasta el día de hoy seguir esperar que alguno asesor se comunicar conmigo , crear que llamar gracia","joy","positive"
"Yo eh visitado la del Salvador del mundo, la de Juan Pablo II y cuando estaba abierta la de Soyapango, y gracias a Dios siempre me atendieron bien, muy amables y serviciales, hasta el momento no tengo de que quejarme, me quejo de las empresas en las que trabaje y no me pagaron AFP, a pesar que me la descontaban. Espero que los que hayan tenido mala atención, pronto les resuelvan, cuídense mucho",NA,"yo eh visitar el del salvador del mundo , el de juan pablar ii y cuando estar abrir el de soyapango , y gracia a dios siempre me atender bien , muy amable y servicial , hasta el momento no tener de que quejarme , me quejar de el empresa en el que trabajar y no me pagar afp , a pesar que me el descontar . esperar que el que haber tener malo atención , pronto les resolver , cuídense mucho","joy","positive"
"Yo kisiera saber si yo puedo ser uno de los beneficiario del hantisipo",NA,"yo kisiera saber si yo poder ser unir de el beneficiario del hantisipo","unknown","positive"
"Como puedo hacer estoy jubilado por invalidez en febrero me toca firmar como puedo hacer",NA,"comer poder hacer estar jubilar por invalidez en febrero me tocar firmar comer poder hacer","joy","positive"
"Buenas tardes, mi control de sobrevivencia es en Febrero, puedo hacerlo hoy?",NA,"bueno tardar , mi control de sobrevivencia ser en febrero , poder hacerlo hoy ?","unknown","positive"
"Yo entré a esa aplicación de watsap medisen ingrese su número lo ingreso pero medisen qué no tienen esa información e llamado nunca me atienden nose qu pasara con mi estado de cuenta",NA,"yo entrar a ese aplicación de watsap medisen ingresar su número el ingresar pero medisen qué no tener ese información e llamar nunca me atender nose qu pasar con mi estar de contar","unknown","negative"
"Yo entre aplicación de watsap medisen q ingresé su número lo ingreso pero medise que nos tienen esa información nosé que pasará con m estado de cuenta de m papá",NA,"yo entrar aplicación de watsap medisen q ingresar su número el ingresar pero medise que no tener ese información nosé que pasar con metro estar de contar de metro papá","unknown","negative"
"Solo quiero saber mi estado d cuenta",NA,"solo querer saber mi estar d contar","unknown","positive"
"Mi control de sobrevivencia es en abril se puede antes",NA,"mi control de sobrevivencia ser en abril se poder antes","unknown","positive"
"Necesito saber si mi control de sobrevivencia se me venció.y como hacer para actualizarlo.",NA,"necesitar saber si mi control de sobrevivencia se me venció.y comer hacer parar actualizarlo .","unknown","positive"
"Buenas tarde y para ser cita como se hace",NA,"bueno tardar y parar ser citar comer se hacer","unknown","positive"
"Como puedo hacer mi control de sobrevivencia sin ir personalmente? Por lo de la Pandemia",NA,"comer poder hacer mi control de sobrevivencia sin ir personalmente ? por el de el pandemia","unknown","positive"
"AFP CONFIA  muchas gracias",NA,"afp confia mucho gracia","unknown","positive"
"Solicito cita control de sobrevivencia",NA,"solicitar citar control de sobrevivencia","unknown","positive"
"Buenos días yo quiciera saber si un persona que trabajo y cotizo asta el año 96 y se retiró y ahora ella puede reclamar lo que cotizo y si lo puede hacer otra persona",NA,"bueno día yo quiciera saber si uno personar que trabajar y cotizar asta el año 96 y se retirar y ahora él poder reclamar el que cotizar y si el poder hacer otro personar","unknown","positive"
"Nora Gonzalez de Hirlemann",NA,"nora gonzalez de hirlemann","unknown","positive"
"Buenos días disculpen mi madre quiere saber que fecha les depositarán en dinero de sobrevivencia x fabor..serian tan amables",NA,"bueno día disculpar mi madre querer saber que fechar les depositar en dinero de sobrevivencia x fabor . . seriar tan amable","joy","positive"
"Muchas gracias y bendiciones",NA,"mucho gracia y bendición","unknown","positive"
"Como puedo  hacer para aplicar al angicipo",NA,"comer poder hacer parar aplicar al angicipo","unknown","positive"
"AFP CONFIA yo igual un anticipo tengo 57 anos sigo cotizando que puedo aser",NA,"afp confia yo igual uno anticipar tener 57 ano seguir cotizar que poder aser","unknown","positive"
"Hola me gustaria recibir mi estado de cuenta",NA,"hola me gustaria recibir mi estar de contar","unknown","positive"
"Yo quiero mi estado de cuenta",NA,"yo querer mi estar de contar","unknown","positive"
"Hola yo quiero mi estado de cuenta",NA,"hola yo querer mi estar de contar","unknown","positive"
"22677777",NA,"22677777","unknown","positive"
"Nesesito mi estado de cuenta",NA,"nesesito mi estar de contar","unknown","positive"
" Siempre lo mandan al correo",NA,"siempre el mandar al correar","unknown","positive"
"Nesecito un estado decuenta",NA,"nesecito uno estar decuenta","unknown","positive"
"Buenas  necenecesito  un estado de cuenta como hago ??",NA,"bueno necenecesito uno estar de contar comer hacer ? ?","unknown","positive"
"Como puedo solicitar mi tarjeta de afiliado",NA,"comer poder solicitar mi tarjeta de afiliar","unknown","positive"
"Para un estado de cuenta",NA,"parar uno estar de contar","unknown","positive"
"Buenas tardes necesito solicitar un estado de cuenta ",NA,"bueno tardar necesitar solicitar uno estar de contar","unknown","positive"
"Quisiera verificar mi dirección un estado de cuenta",NA,"querer verificar mi dirección uno estar de contar","unknown","positive"
"Necesito aplicar para el anticipo  como se Ace",NA,"necesitar aplicar parar el anticipar comer se ace","unknown","positive"
"AFP CONFIA si ya retire el 25% ya no puedo optar por otro anticipo",NA,"afp confia si ya retirar el 25 % ya no poder optar por otro anticipar","unknown","negative"
"AFP CONFIA el trámite es personal o  en linia",NA,"afp confia el trámite ser personal o en linia","unknown","positive"
"AFP CONFIA gracias pero mi pregunta es que si se puede empezar el proceso un mes antes se cumplir los 50 años ",NA,"afp confia gracia pero mi preguntar ser que si se poder empezar el procesar uno mes antes se cumplir el 50 año","joy","positive"
"Hola yo siempre mando el mensaje y lo q me disen q no encuentran datos y les e mandado mi nombre completo y mi numero d dui y q puedo aser entonces xq yo aqui tengo mi numero d cuenta d la AFP",NA,"hola yo siempre mandar el mensaje y el q me disen q no encontrar dato y les e mandar mi nombrar completar y mi numerar d dui y q poder aser entonces xq yo aqui tener mi numerar d contar d el afp","unknown","negative"
"Buenas tardes me podrian dar los Requisitos para poder aplicar al anticipo   gracias",NA,"bueno tardar me podrian dar el requerir parar poder aplicar al anticipar gracia","unknown","positive"
"Nesesito un adelanto de mi ahorro...cuales son los requisitos....",NA,"nesesito uno adelantar de mi ahorrar . . . cual ser el requerir . . . .","unknown","positive"
"AFP CONFIA tengo una duda, si estoy desempleado, pero cumplo los requisitos, puedo aplicar a este  eneficio de anticipo?Gracias. ",NA,"afp confia tener unir dudar , si estar desempleado , pero cumplir el requerir , poder aplicar a este eneficio de anticipar ? gracia .","joy","positive"
"AFP CONFIA muchas gracias, muy amable. ",NA,"afp confia mucho gracia , muy amable .","fear","positive"
"Gaby C Melara  ",NA,"gaby c melar","unknown","positive"
"Me pueden enviar mi estado de cuenta?",NA,"me poder enviar mi estar de contar ?","unknown","positive"
"Qué requisitos debo tener para jubilarme",NA,"qué requerir deber tener parar jubilarme","unknown","positive"
"Yo necesito saber  cuanto son los años cotizados q tengo  con exactitud  xq en el anticipo se lo piden y en el estado de cuenta no dice los años exactos como puedo saber",NA,"yo necesitar saber cuanto ser el año cotizar q tener con exactitud xq en el anticipar se el pedir y en el estar de contar no decir el año exacto comer poder saber","unknown","negative"
"AFP CONFIA ok lo are ",NA,"afp confia ok el arar","unknown","positive"
"Cual es el numero de whatssap??",NA,"cual ser el numerar de whatssap ? ?","unknown","positive"
"He ingresado ese mismo numero y no me sale ",NA,"haber ingresar ese mismo numerar y no me salar","unknown","negative"
"Sra.afp.confia.puedo ir alas oficinas a firmar la Sobrevivencia.estuve hablando por teléfono y nunca me contestaron.lo quise hacer por messenger y no pude hacerlo. Y en este mes me toca firmar.",NA,"sra.afp.confia.puedo ir ala oficina a firmar el sobrevivencia.estuve hablar por teléfono y nunca me contestaron.lo querer hacer por messenger y no poder hacerlo . y en este mes me tocar firmar .","unknown","negative"
"Yo estoy registrada y me mandaban el estado de cuenta cada 3 meses Pero este año no me lo an mandado Me puede explicar xq",NA,"yo estar registrar y me mandar el estar de contar cada 3 mes pero este año no me el an mandar me poder explicar xq","unknown","negative"
"Hola buenos días yo que por motivo de la pandemia desde marzo del año pasado estoy sin trabajar puedo retirar un anticipo de mis ahorros",NA,"hola bueno día yo que por motivar de el pandemia desde marzo del año pasar estar sin trabajar poder retirar uno anticipar de mi ahorro","unknown","positive"
"Como puedo hácer para solicitar mi anticipó del 25%.",NA,"comer poder hácer parar solicitar mi anticipar del 25 % .","unknown","positive"
"AFP CONFIA. Muchas gracias ya la mandé la solicitud. El problema qué el formulario qué complete, no piden el número de cuenta del Banco no sé cómo hácer yo Ya tengo cuenta de ahorro con el Banco agrícola cómo hago para dar mi cuenta.  Gracias",NA,"afp confia . mucho gracia ya el mandar el solicitud . el problema qué el formulario qué completar , no pedir el número de contar del banco no saber cómo hácer yo ya tener contar de ahorrar con el banco agrícola cómo hacer parar dar mi contar . gracia","unknown","negative"
"Holaaaaaa ya tengo los 55 años me dieron el estado de cuenta el año pasado pero la tarjeta del seguro no está actualizada solo eso me fa",NA,"holaaaaaa ya tener el 55 año me dar el estar de contar el año pasar pero el tarjeta del seguro no estar actualizar solo ese me fa","unknown","negative"
"Quiero mi estado de cuenta",NA,"querer mi estar de contar","unknown","positive"
"Yo quiero solicitar una constancia del de cuanto recibo mensualmente.",NA,"yo querer solicitar unir constancia del de cuanto recibir mensualmente .","unknown","positive"
"He pedido una constancia de pension, ya envié datos que me pidieron y hasta hoy no han dado respuesta, y estar hablando con tessa es tedioso. Favor dar seguimiento a solicitud por favor",NA,"haber pedir unir constancia de pension , ya enviar dato que me pedir y hasta hoy no haber dar respuesta , y estar hablar con tessa ser tedioso . favor dar seguimiento a solicitud por favor","joy","negative"
"Buenas tardes yo necesito mi estado de cuentas por favor",NA,"bueno tardar yo necesitar mi estar de contar por favor","joy","positive"
"Yo nesesito mi estado de cuentas",NA,"yo nesesito mi estar de contar","unknown","positive"
"Jairo Repreza",NA,"jairo repreza","unknown","positive"
"Hola buen dia necesito saber los requisitos para tener un adelanto de mis ahorros",NA,"hola bueno dia necesitar saber el requerir parar tener uno adelantar de mi ahorro","unknown","positive"
"Como puedo obtener el carnet y el NUP de respaldo de la afiliación?",NA,"comer poder obtener el carnet y el nup de respaldar de el afiliación ?","surprise","positive"
"Muy buenas tardes. Me han solicitado una constancia de pago de pensión y constancia de saldo. Como hacer para obtener?",NA,"muy bueno tardar . me haber solicitar unir constancia de pagar de pensión y constancia de saldar . comer hacer parar obtener ?","surprise","positive"
"AFP CONFIA ",NA,"afp confia","unknown","positive"
"Nose porque a Mi no me encuentran y e cotizado  desde que tenía 20 años y oy tengo 43 cotize 11 años y no aparezco en ninguna afp",NA,"nose porque a mi no me encontrar y e cotizar desde que tener 20 año y oy tener 43 cotize 11 año y no aparecer en ninguno afp","unknown","negative"
"Hola nesecito mi estado de cuenta xfvor",NA,"hola nesecito mi estar de contar xfvor","unknown","positive"
"AFP CONFIA hola cuanto debo de mi anticipo",NA,"afp confia hola cuanto deber de mi anticipar","unknown","positive"
"Juan José peña Barahona necesito mi estado de cuenta",NA,"juan josé peña barahona necesitar mi estar de contar","unknown","positive"
"Puedo comenzara hacer los trámites de anticipo si la edad lo cumplo en mayo..gracias de ante mano por su respuesta",NA,"poder comenzar hacer el trámite de anticipar si el edad el cumplir en mayar . . gracia de ante manar por su respuesta","joy","positive"
"AFP CONFIA los 50 años los cumplo en mayo de este año ...puedo comenzar los trámites o tengo que esperar hasta esa fecha ",NA,"afp confia el 50 año el cumplir en mayar de este año . . . poder comenzar el trámite o tener que esperar hasta ese fechar","joy","positive"
"Necesito estado de cuenta y quiero cambiar la dirección para que me envíen la correspondencia ",NA,"necesitar estar de contar y querer cambiar el dirección parar que me enviar el correspondencia","unknown","positive"
"Hola soyjoseeliseoacevedoquiermiestadodecuenta",NA,"hola soyjoseeliseoacevedoquiermiestadodecuenta","unknown","positive"
"Buenos días quisiera saber como o tener mi estado de cuenta",NA,"bueno día querer saber comer o tener mi estar de contar","unknown","positive"
"Necesito un estado de cuenta ya mande mensaje a WhatsApp y Messenger ya ratos y no ayuda en nada.",NA,"necesitar uno estar de contar ya mandar mensaje a whatsapp y messenger ya rato y no ayudar en nadar .","unknown","negative"
"Me regala mi estado de cuenta",NA,"me regalar mi estar de contar","unknown","positive"
