"X.U.FEFF.Comment","text_tokens","V3"
"Cuantos años tengo en total trabajados ? "," ","cuanto año tener en total trabajar ?"
"No sirve ese link"," ","no servir ese link"
"Hola cuantos años tengo trabajados"," ","hola cuanto año tener trabajar"
"soy Ana arbelica domingues y quesirea saber cuántos años tengo cotizados"," ","ser ana arbelica domingues y quesirea saber cuánto año tener cotizar"
"No me reconoce el DUI"," ","no me reconocer el dui"
"Quiero mi historial laboral, tengo dudas si pagaron AFP en unos colegios donde trabajé"," ","querer mi historial laboral , tener duda si pagar afp en uno colegio donde trabajar"
"Jesus,Morales,Gomez,yamande,elvideo,fotosdel,DUI,ynomean,respondido,quemascepuedehacer,nececito,eldinero"," ","jesus , moral , gomez , yamande , elvideo , fotosdel , dui , ynomean , responder , quemascepuedehacer , nececito , eldinero"
"Hola buen día, quisiera actualizar mis datos porq no se a que correo me los mandan cuando solicito mi estado de cuenta y ademas quiero solicitar mi adelanto de saldo también."," ","hola bueno día , querer actualizar mi dato porq no se a que correar me el mandar cuando solicitar mi estar de contar y adema querer solicitar mi adelantar de saldar también ."
"AFP Crecer pero igual ayer llame en dos ocasiones 10 minutos espere en cada llamada me acabe el saldo y no me contestaron"," ","afp crecer pero igual ayer llamar en do ocasión 10 minuto esperar en cada llamar me acabar el saldar y no me contestar"
"AFP Crecer si ya me resolvieron, muchas gracias. "," ","afp crecer si ya me resolver , mucho gracia ."
"AFP Crecer como es que le pueden negar su dinero a uno, solicite mi adelanto y me lo negaron y según yo cumplo con los  requisitos, bueno según los que leí. "," ","afp crecer comer ser que le poder negar su dinero a unir , solicitar mi adelantar y me el negar y según yo cumplir con el requerir , bueno según el que leer ."
"AFP Crecer ahorita envío el inbox"," ","afp crecer ahorita enviar el inbox"
"Necesito programar una cita nunca contestan tel. De atencion"," ","necesitar programar unir citar nunca contestar tel . de atencion"
"Si quero.mi.istorial por f"," ","si quero.mi.istorial por f"
"Buenas tardes queria consultar por el calendario de pensiones."," ","bueno tardar queria consultar por el calendario de pensión ."
"Jessy Sanchez "," ","jessy sanchez"
"AFP Crecer muchas gracias"," ","afp crecer mucho gracia"
"Ok"," ","ok"
"Quiero mi estado de cuentas por favor!!!"," ","querer mi estar de contar por favor ! ! !"
"Hola necesito saber mi estado de cuenta pero  no tengo correo"," ","hola necesitar saber mi estar de contar pero no tener correar"
"AFP Crecer como puedo pedir cita para ir a poner de beneficiario a mi hijo"," ","afp crecer comer poder pedir citar parar ir a poner de beneficiario a mi hijo"
"No tengo correo.pueden mandarme mi estado de cuenta directo a mi facebook?"," ","no tener correo.pueden mandarme mi estar de contar directo a mi facebook ?"
"AFP Crecer diganme si aplico al anticipo del 25%."," ","afp crecer diganme si aplicar al anticipar del 25 % ."
"AFP Crecer solo diganme q documentos les envió.para que me puedan decir si aplico."," ","afp crecer solo diganme q documento les envió.para que me poder decir si aplicar ."
"Buen dia"," ","bueno dia"
"AFP Crecer quiero sabet si aplico o no"," ","afp crecer querer sabet si aplicar o no"
"Esa es la pregunta"," ","ese ser el preguntar"
"No puedo ingresar <U+0001F614>"," ","no poder ingresar <U+0001F614>"
"Gracias"," ","gracia"
"Buenas quisiera actualizar mis datos ... hace mucho q no lo hago"," ","bueno querer actualizar mi dato . . . hacer mucho q no el hacer"
"Quiero istorial de laboral mi cuenta"," ","querer istorial de laboral mi contar"
"Carla Lizama de Rodríguez "," ","carla lizama de rodríguez"
"Y para agendar cita para la inpep dicen que hay que ir a Afp crecer a sacarla"," ","y parar agendar citar parar el inpep decir que haber que ir a afp crecer a sacarla"
"yo le pregunto si me toca firmar hoy en enero o en julio y no me contesta como puedo hacer por favor gracias"," ","yo le preguntar si me tocar firmar hoy en enero o en julio y no me contestar comer poder hacer por favor gracia"
"AFP Crecer gracias muchas gracias bendiciones <U+0001F44D>"," ","afp crecer gracia mucho gracia bendición <U+0001F44D>"
"Para cuando está programado el pagó de la pensión."," ","parar cuando estar programar el pagar de el pensión ."
"Necesito me ayude. Quiero modificar mi apellido "," ","necesitar me ayudar . querer modificar mi apellidar"
"Hola buenas y hay aunmento de pension quisiera saber ???"," ","hola bueno y haber aunmento de pension querer saber ? ? ?"
"Hace varios días estoy pidiendo el estado de cuenta y por gusto la misma computadora te contestas??o ya lo tienen programada para aburrir al cliente ...desgracia de servicio y atención al cliente deberían de poner personal al día capacitado para resolver consultas y dudas..saludos"," ","hacer vario día estar pedir el estar de contar y por gustar el mismo computador te contestar ? ? o ya el tener programar parar aburrir al cliente . . . desgraciar de servicio y atención al cliente deber de poner personal al día capacitar parar resolver consulta y duda . . saludo"
"Ayuda señores por favor necesito informacion"," ","ayudar señor por favor necesitar informacion"
"AFP Crecer gracias"," ","afp crecer gracia"
"AFP Crecer ok"," ","afp crecer ok"
"Cuando le sale el día no sale la hora cómo se hace allí por eso no le aceptan a uno"," ","cuando le salar el día no salar el hora cómo se hacer allí por ese no le aceptar a unir"
"Si lo pongo pero la hora no da"," ","si el poner pero el hora no dar"
"amigo Carlos Pacas"," ","amigar carlos paca"
"Yo nese sito ablar por teléfono con algún asesor.porque ustedes piden coreo actualizado.iyo no tengo coreo por qué seme perdió la contraseña."," ","yo nese sito ablar por teléfono con alguno asesor.porque vosotros pedir corear actualizado.iyo no tener corear por qué seme perder el contraseña ."
"Disculpe yo ya saqué la cita y que pasos tengo que seguir y que documentos tengo que "," ","disculpar yo ya sacar el citar y que paso tener que seguir y que documento tener que"
"Retiro de saldo"," ","retirar de saldar"
"AFP Crecer cuál bancose debe abrir la cuenta.para el anticipo"," ","afp crecer cuál bancose deber abrir el cuenta.para el anticipar"
"Necesito una cita para mi mamá ,,mi padre falleció y nos dejó un estado de cuenta q el tenia para reclamar como hago"," ","necesitar unir citar parar mi mamá , , mi padre fallecer y no dejar uno estar de contar q el tenia parar reclamar comer hacer"
"AFP Crecer pero quiero hablar personalmente para seguir el trámite"," ","afp crecer pero querer hablar personalmente parar seguir el trámite"
"Cuando llamaran para registrar la voz para verificar la  sobrebivencia????"," ","cuando llamar parar registrar el voz parar verificar el sobrebivencia ? ? ? ?"
