"word","freq"
"inbox",629
"buen",568
"salud",521
"hol",420
"qued",376
"gust",312
"servici",271
"dias",259
"via",227
"pued",224
"dat",206
"ayudart",197
"medi",195
"clar",191
"pag",166
"envian",154
"internet",141
"inform",140
"noch",140
"atent",127
"brind",127
"escrib",125
"orden",124
"comentari",120
"cabl",120
"agenci",117
"consult",107
"envi",105
"invit",98
"saludart",96
"ayud",94
"señal",85
"mensaj",84
"escriben",81
"cobr",77
"factur",77
"interes",75
"verific",73
"numer",73
"dia",72
"sab",71
"personaliz",69
"objet",69
"mes",66
"abiert",65
"necesit",63
"respuest",61
"contrat",61
"darl",54
"mal",54
"mor",54
"podr",53
"comentart",53
"canal",51
"paquet",49
"deb",48
"llam",48
"recib",45
"nombr",44
"pas",44
"report",44
"quer",42
"solicit",42
"esper",41
"coment",41
"pod",41
"brindart",40
"inconvenient",39
"line",39
"feliz",37
"eliz",36
"detall",36
"atencion",36
"whatsapp",35
"com",35
"dand",34
"instal",32
"señor",32
"cas",32
"des",32
"mand",32
"gestor",31
"imbox",31
"asistent",31
"encuentr",31
"dic",30
"traves",30
"realiz",30
"siempr",30
"tig",30
"trabaj",29
"solucion",29
"client",29
"dud",28
"horari",28
"priv",27
"cualqui",27
"cost",27
"digital",27
"present",26
"disposicion",26
"dui",26
"cerr",26
"compr",25
"dispon",25
"mayor",25
"ayer",24
"llev",24
"soyapang",24
"hac",24
"residencial",24
"problem",24
"basic",24
"telefon",24
"pon",23
"ampli",23
"moment",23
"aqu",23
"satelital",23
"revis",22
"marc",22
"unic",22
"tiend",22
"preci",21
"inter",21
"respond",21
"cancel",21
"contact",21
"https",21
"hoy",20
"sal",20
"contest",20
"dej",20
"dan",19
"mism",19
"repar",19
"plan",19
"dar",18
"tiemp",18
"conect",18
"sirv",18
"garci",17
"emergent",17
"mejor",17
"sucursal",17
"requisit",17
"wilb",17
"zon",16
"quier",16
"call",16
"maner",16
"pesim",16
"riv",16
"cuant",16
"tard",16
"nuev",16
"posibl",16
"perez",16
"ana",16
"conexion",16
"asi",15
